Index,Dataset,Predict_Positions,Size
1,TSQA,"[(0, 539), (540, 1079), (1080, 1619), (1620, 2559)]","[540, 540, 540, 940]"
2,TSQA,"[(0, 650), (651, 1202), (1203, 1919)]","[651, 552, 717]"
3,TSQA,"[(0, 959)]",[960]
4,TSQA,"[(0, 1599)]",[1600]
5,TSQA,"[(0, 626), (627, 1279)]","[627, 653]"
6,TSQA,"[(0, 648), (649, 1727)]","[649, 1079]"
7,TSQA,"[(0, 708), (709, 1285), (1286, 2111)]","[709, 577, 826]"
8,TSQA,"[(0, 549), (550, 1326), (1327, 1986), (1987, 2687)]","[550, 777, 660, 701]"
9,TSQA,"[(0, 473), (474, 941), (942, 1771), (1772, 2559)]","[474, 468, 830, 788]"
10,TSQA,"[(0, 671), (672, 1316), (1317, 2047)]","[672, 645, 731]"
