Index,Task,Dataset,Method,HistLen,PredLen,Pred_Labels,Impact_Scores,Pred_Series
1,UNDERSTANDING,TSQA,Window,2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
2,UNDERSTANDING,TSQA,Window (+v),2560,8,"[""sudden spike outlier"", ""downward trend"", ""downward trend"", ""level shift outlier"", ""sudden spike outlier"", ""upward trend"", ""downward trend"", ""upward trend""]","""[]""","""[]"""
3,UNDERSTANDING,TSQA,Inf-LLM,2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
4,UNDERSTANDING,TSQA,Inf-LLM (+v),2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""downward trend"", ""upward trend"", ""sudden spike outlier"", ""upward trend""]","""[]""","""[]"""
5,UNDERSTANDING,TSQA,Window,2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
6,UNDERSTANDING,TSQA,Window (+v),2560,8,"[""sudden spike outlier"", ""downward trend"", ""downward trend"", ""level shift outlier"", ""sudden spike outlier"", ""upward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
7,UNDERSTANDING,TSQA,Inf-LLM,2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
8,UNDERSTANDING,TSQA,Inf-LLM (+v),2560,8,"[""sudden spike outlier"", ""downward trend"", ""downward trend"", ""upward trend"", ""level shift outlier"", ""sudden spike outlier"", ""sudden spike outlier"", ""upward trend""]","""[]""","""[]"""
9,UNDERSTANDING,TSQA,Window,2560,8,"[""sudden spike outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend"", ""downward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
10,UNDERSTANDING,TSQA,Window (+v),2560,8,"[""sudden spike outlier"", ""downward trend"", ""downward trend"", ""upward trend"", ""level shift outlier"", ""upward trend"", ""level shift outlier"", ""upward trend""]","""[]""","""[]"""
11,UNDERSTANDING,TSQA,Inf-LLM,2560,8,"[""level shift outlier"", ""upward trend"", ""downward trend"", ""sudden spike outlier"", ""level shift outlier"", ""upward trend"", ""sudden spike outlier"", ""upward trend""]","""[]""","""[]"""
12,UNDERSTANDING,TSQA,Inf-LLM (+v),2560,8,"[""sudden spike outlier"", ""downward trend"", ""downward trend"", ""upward trend"", ""level shift outlier"", ""upward trend"", ""sudden spike outlier"", ""upward trend""]","""[]""","""[]"""
13,UNDERSTANDING,TSQA,InfTS-LLM,2560,8,"[""sudden spike outlier"", ""upward trend"", ""upward trend"", ""level shift outlier"", ""increased volatility"", ""downward trend"", ""increased volatility"", ""upward trend""]","""[0.134, 0.156, 0.189, 0.121, 0.156, 0.189, 0.121, 0.134]""","""[]"""
14,UNDERSTANDING,TSQA,InfTS-LLM (+v),2560,8,"[""sudden spike outlier"", ""upward trend"", ""upward trend"", ""level shift outlier"", ""increased volatility"", ""downward trend"", ""increased volatility"", ""upward trend""]","""[0.134, 0.156, 0.189, 0.121, 0.156, 0.189, 0.121, 0.134]""","""[]"""
15,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
16,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
17,UNDERSTANDING,TSQA,Window,2560,8,,"""[]""","""[]"""
18,UNDERSTANDING,TSQA,Inf-LLM,2560,8,,"""[]""","""[]"""
19,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
20,UNDERSTANDING,TSQA,Window,2560,8,,"""[]""","""[]"""
21,UNDERSTANDING,TSQA,Inf-LLM,2560,8,,"""[]""","""[]"""
22,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
23,UNDERSTANDING,TSQA,Window,2560,8,,"""[]""","""[]"""
24,UNDERSTANDING,TSQA,Inf-LLM,2560,8,,"""[]""","""[]"""
25,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[0.134, 0.156, 0.189, 0.121, 0.156, 0.189, 0.121]""","""[]"""
26,UNDERSTANDING,TSQA,Inf-LLM,2560,8,,"""[]""","""[]"""
27,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
28,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[0.134, 0.156, 0.189, 0.121, 0.156, 0.189, 0.121]""","""[]"""
29,UNDERSTANDING,TSQA,StreamTS-Agents,2560,8,,"""[]""","""[]"""
